Date,Open,High,Low,Close,Volume,RSI,Return_1M,SMA_50,SMA_200,Target,Ticker
2024-10-03,846.3844351066934,851.5644172954591,825.5164827720641,829.7838134765625,48473398.0,53.43903269227794,0.0272697055065243,817.7529528808594,769.4219515991211,0,HDFCBANK.NS
2024-10-04,826.083866681385,834.0511850540141,815.4772359655595,817.771240234375,48683232.0,48.32392603948265,0.009653998307342038,818.2818041992188,769.4932171630859,1,HDFCBANK.NS
2024-10-07,815.0824984433904,818.4371776300311,795.7439225540929,798.1119384765625,94458296.0,40.591265146394896,-0.016803845906010473,818.2936450195313,769.5060946655274,1,HDFCBANK.NS
2024-10-08,804.1305430330278,817.351854577489,800.1838900610866,814.5151977539062,29734406.0,47.16950310198738,0.008613602095071782,818.6182568359375,769.6099917602539,1,HDFCBANK.NS
2024-10-09,813.750592132383,817.3272467507278,803.4892692768091,805.6846313476562,41125642.0,39.90832246804309,-0.008108058758479086,818.8955090332031,769.6228924560547,1,HDFCBANK.NS
2024-10-10,808.5705299330368,821.6191272702827,805.363874384187,820.114501953125,21754766.0,42.81929439206771,0.007301399767305261,819.3577587890625,769.6923684692383,1,HDFCBANK.NS
2024-10-11,821.1258875682706,821.1258875682706,810.6672800804614,814.4906005859375,23672594.0,34.95162223816604,0.004319035440504937,819.7055578613281,769.7357934570313,1,HDFCBANK.NS
2024-10-14,816.9819085005773,834.741848018609,815.9705545228965,832.7931518554688,18527508.0,38.73346908130609,0.012900513588599338,820.191982421875,769.8775448608399,1,HDFCBANK.NS
2024-10-15,835.7038196244212,837.6771462351046,826.5771840500105,830.81982421875,19651130.0,36.629989860382224,0.010894697169422596,820.438154296875,769.9994525146484,1,HDFCBANK.NS
2024-10-16,828.8465156450762,842.585790426718,828.8465156450762,838.565185546875,20470682.0,37.55491412756581,0.017265760803289565,821.2674450683594,770.0878146362305,1,HDFCBANK.NS
2024-10-17,836.1724403142362,837.5044718768119,821.4958240034423,825.4178466796875,14695732.0,33.822227157977565,0.0026066676423135426,821.9773498535156,770.149009399414,1,HDFCBANK.NS
2024-10-18,820.4598702584595,834.2238355924767,816.0198853262701,829.7098388671875,24809724.0,38.89583770733749,-0.007641051614036387,822.5530676269532,770.2034362792969,1,HDFCBANK.NS
2024-10-21,846.063768270474,862.4177242903107,844.1151323678729,852.8223876953125,46548354.0,49.51454813786417,0.011823203243652491,823.4015979003906,770.3226889038086,0,HDFCBANK.NS
2024-10-22,853.4884373802005,858.3970631644344,843.9424218629189,845.841796875,38875280.0,48.35150714294968,-0.015305453955313464,824.0365161132812,770.4022937011719,1,HDFCBANK.NS
2024-10-23,841.1551854708522,861.603759041874,841.1551854708522,856.3251342773438,38036090.0,58.141683220777864,-0.013637850238638616,824.7834228515625,770.5245812988281,1,HDFCBANK.NS
2024-10-24,857.4597103207274,872.5310159915173,857.4597103207274,863.15771484375,30832258.0,64.37950609243421,-0.010406978692924729,826.2283911132813,770.7081649780273,0,HDFCBANK.NS
2024-10-25,865.7970368926951,867.2030200365818,852.8223905419693,860.0744018554688,26130478.0,71.93508449343909,-0.02006632400123698,827.5663073730469,770.8738986206055,1,HDFCBANK.NS
