Ticker,Close,PE_Ratio,Blend_Score,SARIMA_Forecast_5D
PRU.L,1152.5,12.13,48.7,-0.01
BARC.L,476.8,11.63,36.0,0.0
GSK.L,1830.5,13.76,35.0,0.02
RR.L,1153.0,16.96,32.8,-0.22
LLOY.L,98.34,16.39,32.2,-0.12
HSBA.L,1175.6,16.79,30.9,0.07
STAN.L,1826.0,13.04,30.3,-0.08
